	tweet	user	user_statuses_count	user_followers	user_verified	fav_count	rt_count	date
103	RT @OSUFAN4U2NV: @vladtenev Partner in crime huh. 🤔 https://t.co/RsVQzOPmt8	Coltyn	30727	167	False	0	361	2021-01-28 23:59:26
104	RT @Haley2Buddy: @vladtenev Fair and just society huh? This you? https://t.co/hLlwfWmd7X	A	501	18	False	0	19	2021-01-28 23:59:26
105	RT @incarceratedbob: This dude is full of 💩 as expected @RobinhoodApp @vladtenev	Nathan Johnson	10266	207	False	0	54	2021-01-28 23:59:26
106	@vladtenev We shall find out in Court, Vlad	alex	19	0	False	1	0	2021-01-28 23:59:26
107	@vladtenev they tearing your ass up lmao	StockJunky	38552	768	False	0	0	2021-01-28 23:59:26
108	@vladtenev @RobinhoodApp What’s not easy!?!? There is right and wrong and I’m sorry to say you’re wrong 🤣 where’s my profit money that you made me miss out on?!?	EJ	10949	1382	False	0	0	2021-01-28 23:59:26
109	@cperruna @vladtenev is doing a horrible job.	Daggett_Chandler	9482	137	False	2	0	2021-01-28 23:59:26
110	@vladtenev looks like a snake with a mullet	cknight	3146	40	False	0	0	2021-01-28 23:59:25
111	@vladtenev @RobinhoodApp Aka we fucked up.	Mortimer	2061	75	False	0	0	2021-01-28 23:59:25
112	RT @KarlSmithCFA: ANSWER THE QUESTION @vladtenev	Nik	7761	95	False	0	22	2021-01-28 23:59:24
113	@vladtenev we like the stock	BPM 37093	4240	87	False	0	0	2021-01-28 23:59:24
114	@business @BloombergTV Why does Vlad look like the bad guy in Star Wars 🤷🏻‍♂️.  This is starting all all make better since #corruption 🤷🏻‍♂️ @vladtenev @realMeetKevin @elonmusk @deadnsyde @mcuban @jimcramer @TuckerCarlson https://t.co/zFVLrrR19i	Luv2flypilot	196	14	False	2	0	2021-01-28 23:59:24
115	"Holy shit, @RobinhoodApp CEO @vladtenev is not making any sense at all in this @CNBC interview. He simply cannot explain why they fucked over their customers. He isn't answering questions, just sticking to his irrelevant talking points.

What a snake 🐍🐍🐍

$GMO $AMC $BB"	🔋ShoEnrichCom🔋	29941	370	False	5	1	2021-01-28 23:59:24
116	"Someone get @vladtenev off CNBC. He's absolutely ruining any chance @RobinhoodApp ever had of having a successful IPO. 

I hope @BillAckman wasn't pursuing this for $PSTH.

$AMC $GME $NAKD $SNDL"	SPAC Man	271	51	False	4	0	2021-01-28 23:59:24
117	@vladtenev you are gonna get eaten alive by Congress	Jordan Holberg	13396	741	False	0	0	2021-01-28 23:59:24
118	@RobinhoodApp @vladtenev you guys are so fucked	Mann Perkins	1060	31	False	0	0	2021-01-28 23:59:23
119	RT @stoolpresidente: Hey @vladtenev I hope you go to jail	tyler begley	8020	416	False	0	9072	2021-01-28 23:59:23
120	"RT @manal____manal: “ah, um, ah, um...clorox, hand sanitizer, oh, um, ah....i, i, i....” 

STFU @vladtenev"	DipnRip	1929	58	False	0	35	2021-01-28 23:59:23
121	@stoolpresidente  you watching @vladtenev spew this garbage on @CNBC ??	Alan Rourke	2718	186	False	0	0	2021-01-28 23:59:23
122	FUCK @vladtenev	EfronBuys	54	3	False	0	0	2021-01-28 23:59:23
123	@vladtenev Fucking liar	Neil Darlington	1461	50	False	0	0	2021-01-28 23:59:22
124	@manal____manal @vladtenev 💩💩💩Head!!!	DipnRip	1929	58	False	2	0	2021-01-28 23:59:20
125	RT @TheKingof_Scots: @Jason @robinhood @vladtenev @bprafulkumar Restricting trades and profits? They either have full fiduciary responsibil…	✝️LENAYE HEAVEN	52608	7074	False	0	1	2021-01-28 23:59:20
126	@MelissaLeeCNBC @vladtenev please compensate us the robinhood users for their losses !! Even if you keep the platform to sell the restricted stocks but people cannot sell when they are loosing money because of artificial restrictions	Arjun Nath	2844	129	False	0	0	2021-01-28 23:59:20
