	tweet	user	user_statuses_count	user_followers	user_verified	fav_count	rt_count	date
126	@HYFR_KYS It’s definitely hope! I didn’t even think I was gonna get in one cf , but I use to pray to be loved properly like this and it happened 😭 it’s fairly new but he definitely shows me what I wasn’t shown before .	mamas 💙	205808	1629	False	1	0	2021-02-02 18:19:40
127	@v__mo dropping morals over korean music.. kys	ً	13873	1114	False	0	0	2021-02-02 18:19:37
128	"*Friends watching me winning in League* 

Friends: Claws tell them to kill themselves!
Me: /all kys
Friends: OMG CLAWS NO YOU'RE GONNA GET BANNED
Me: *Logs in League the next day* https://t.co/bRTye6M4Em"	Claws	75539	897	False	1	0	2021-02-02 18:19:36
129	"RT @onednotfound: tw // death threats , suicide
-
-
-
-
pls dont ever tell someone to kys you have no idea how harmful it can be especially…"	meils	3555	174	False	0	6	2021-02-02 18:19:34
130	"@DiamondDump @Big_Eeshaq3374 @cartoonietootie @PaulbutFoxy @penzny @JBustin9000 @CrystalTheCring @justamdog @rachelizzza @AstralOrbits kys.
(/j)"	CamCam	959	86	False	5	0	2021-02-02 18:19:26
131	RT @NaevisOddities: So inspired by @executivegoth and Mollymauk as a character. Long may he reign. #criticalrolefanart #polyhedraldice #mol…	truc	3984	108	False	0	30	2021-02-02 18:18:34
132	not y’all trying to get hit tweets out off this situation like what about you kys	ً	8457	597	False	6	0	2021-02-02 18:18:05
133	"RT @onednotfound: tw // death threats , suicide
-
-
-
-
pls dont ever tell someone to kys you have no idea how harmful it can be especially…"	left boob is swag	45202	6643	False	0	6	2021-02-02 18:17:35
134	Hi online gaming is a different world. If you think you’re getting mistreated just because you are a woman I promise you are wrong. You could be any age or gender and I assure you someone will still tell you to KYS lol not for the weak for sure https://t.co/1ZRq8e6naL	jade	153	20	False	2	0	2021-02-02 18:17:03
135	what does kys mean , some girl on snap said it to me lol	wini🇱🇸🇮🇪	6678	1436	False	1	0	2021-02-02 18:16:04
136	"tw // death threats , suicide
-
-
-
-
pls dont ever tell someone to kys you have no idea how harmful it can be especially for someone who has struggled with suicidal thoughts"	meils ☾	14685	1386	False	28	6	2021-02-02 18:15:58
137	@Bby_Laflare @PatrickShelton_ @LukeBlankensh17 @KingJames Now imma mute you because this tweet says everything I need it to. You’re the most annoying person on Twitter. Kys https://t.co/CoE2wf7yTS	corey	416	5	False	0	0	2021-02-02 18:15:36
138	if hayley not ya fave TO girl then kys 😁	ZB💓	5827	431	False	0	0	2021-02-02 18:14:25
139	"what does kys mean?

people keep saying this and I dont understand"	ExplicitlyBruce	15434	251	False	0	0	2021-02-02 18:13:33
140	If your Mnk and stuck in plat 3/2 just kys	Kola	4520	198	False	0	0	2021-02-02 18:13:25
141	"tw: suicide, death threats

how can ppl say ""kys"" on the internet  so easily?? i cant do that,, i feel way too bad. no matter what anyone has done i wont tell them to k1ll themselves"	saman	2074	222	False	4	0	2021-02-02 18:09:06
142	@oh_aew it was about someone getting a very disturbing cc bc they talked shit about jonghyun. so then that person quoted that shit... and now i got a kys but it doesn't hurt me but you can always fight them	ara ★ semi ia	4161	520	False	0	0	2021-02-02 18:08:47
143	Fuck you kys https://t.co/DivK5rp6oN	get rid of tiktok kpop stansᵒᵗ²³	13902	309	False	0	0	2021-02-02 18:06:50
144	@Majd1LoL You can sit in my bmw m8 in 2 years np	sleeρy	425	36	False	0	0	2021-02-02 18:06:29
145	"tw / suicide , dec 18
nothing rubs me the wrong way more than shawols telling people who say something bad abt jonghyun to ""kys""....like?? be mad @ them sure but you're not helping anything and it's so fucking hypocritical"	deanie ☾	8839	152	False	2	0	2021-02-02 18:06:18
146	@yutafit please that was ass... they posted a ss of them getting dts and asking if they should do that or no..like go kys idc 😭😭	june	13915	774	False	0	0	2021-02-02 18:05:19
147	RT @debraduncan: Looking at my grandma’s yearbook from 1949 and Pat was...built differently https://t.co/iXsgZNnJGR	Dayana Kitcher Suarez	7434	51	False	0	26620	2021-02-02 18:05:12
148	@gnfobic i just walked from algebra to Orchestra kys	bri :) KORY DAYYYY	8022	444	False	1	0	2021-02-02 18:05:07
149	RT @Crystal_moni: Sleeping hopefully	iamAIRWRECKA. ☺️	72243	1283	False	0	5	2021-02-02 18:02:19
150	@Golden_Hippie I’m just gonna keep waiting for my turn cause y’all make me have hope 💞	iamAIRWRECKA. ☺️	72243	1283	False	1	0	2021-02-02 18:00:10
151	@HYFR_KYS 💙💙 girl same I never been in a good relationship in my entire adulthood but this one def showed me what I been missing out on 🥺	mamas 💙	205808	1629	False	0	0	2021-02-02 17:59:16
152	"// Dec 18th 

But if I tell you to kys I’m wrong ?? https://t.co/jDaHGczj0C"	amber☀️	125690	850	False	1	0	2021-02-02 17:58:30
153	"RT @hellom3lody: Dudes ghost u then B lik """"sry i was busy🥺!"""" Idc either,,respond or kys"	xeno ^_^	2669	87	False	0	4	2021-02-02 17:58:25
154	I just be living through y’all relationships. I love y’all fr! 🥲	iamAIRWRECKA. ☺️	72243	1283	False	0	0	2021-02-02 17:57:43
155	Ugh love that 🥺🙏🏾 https://t.co/5bFmIvYS3l	iamAIRWRECKA. ☺️	72243	1283	False	1	0	2021-02-02 17:57:05
156	and yeah i’ve been depressed before... depressed to a really low point that i’d rather not talk abt so when you say “oh your 100% depressed please don’t kys” it’s kinda offensive please stop.	Obsidion	1503	94	False	2	0	2021-02-02 17:56:15
157	"Dudes ghost u then B lik """"sry i was busy🥺!"""" Idc either,,respond or kys"	buttercup	3312	459	False	25	4	2021-02-02 17:56:04
158	"welcome to the fucking kys zone
kill yourself zone"	inv0y	49	10	False	0	0	2021-02-02 17:49:47
159	AT THIS POINT U NEED TO KYS https://t.co/tOx8CNLME2	🔗	24462	329	False	0	0	2021-02-02 17:47:13
